image_id,parent_image,x_min,y_min,w,h,label_id,label,root_url,unique_image_jpg,score
61,FLIR1_20230318_212919_603_2454.jpg,605,86,11,9,0,[duck_goose],/data/local-files/?d=batch1_val_iimages/,FLIR1_20230318_212919_603_2454_tile_L.jpg,0.25
61,FLIR1_20230318_212919_603_2454.jpg,616,105,9,8,0,[duck_goose],/data/local-files/?d=batch1_val_iimages/,FLIR1_20230318_212919_603_2454_tile_L.jpg,0.25
63,FLIR1_20230318_213034_201_2538.jpg,139,9,6,3,0,[duck_goose],/data/local-files/?d=batch1_val_iimages/,FLIR1_20230318_213034_201_2538_tile_L.jpg,0.25
63,FLIR1_20230318_213034_201_2538.jpg,141,17,7,9,0,[duck_goose],/data/local-files/?d=batch1_val_iimages/,FLIR1_20230318_213034_201_2538_tile_L.jpg,0.25
63,FLIR1_20230318_213034_201_2538.jpg,146,26,8,9,0,[duck_goose],/data/local-files/?d=batch1_val_iimages/,FLIR1_20230318_213034_201_2538_tile_L.jpg,0.25
63,FLIR1_20230318_213034_201_2538.jpg,148,13,7,9,0,[duck_goose],/data/local-files/?d=batch1_val_iimages/,FLIR1_20230318_213034_201_2538_tile_L.jpg,0.25
63,FLIR1_20230318_213034_201_2538.jpg,152,9,7,6,0,[duck_goose],/data/local-files/?d=batch1_val_iimages/,FLIR1_20230318_213034_201_2538_tile_L.jpg,0.25
63,FLIR1_20230318_213034_201_2538.jpg,157,26,7,9,0,[duck_goose],/data/local-files/?d=batch1_val_iimages/,FLIR1_20230318_213034_201_2538_tile_L.jpg,0.25
63,FLIR1_20230318_213034_201_2538.jpg,157,17,8,8,0,[duck_goose],/data/local-files/?d=batch1_val_iimages/,FLIR1_20230318_213034_201_2538_tile_L.jpg,0.25
63,FLIR1_20230318_213034_201_2538.jpg,158,39,6,9,0,[duck_goose],/data/local-files/?d=batch1_val_iimages/,FLIR1_20230318_213034_201_2538_tile_L.jpg,0.25
63,FLIR1_20230318_213034_201_2538.jpg,167,15,6,7,0,[duck_goose],/data/local-files/?d=batch1_val_iimages/,FLIR1_20230318_213034_201_2538_tile_L.jpg,0.25
63,FLIR1_20230318_213034_201_2538.jpg,170,18,6,7,0,[duck_goose],/data/local-files/?d=batch1_val_iimages/,FLIR1_20230318_213034_201_2538_tile_L.jpg,0.25
63,FLIR1_20230318_213034_201_2538.jpg,172,9,5,5,0,[duck_goose],/data/local-files/?d=batch1_val_iimages/,FLIR1_20230318_213034_201_2538_tile_L.jpg,0.25
63,FLIR1_20230318_213034_201_2538.jpg,181,9,4,5,0,[duck_goose],/data/local-files/?d=batch1_val_iimages/,FLIR1_20230318_213034_201_2538_tile_L.jpg,0.25
63,FLIR1_20230318_213034_201_2538.jpg,181,17,8,8,0,[duck_goose],/data/local-files/?d=batch1_val_iimages/,FLIR1_20230318_213034_201_2538_tile_L.jpg,0.25
63,FLIR1_20230318_213034_201_2538.jpg,186,9,6,6,0,[duck_goose],/data/local-files/?d=batch1_val_iimages/,FLIR1_20230318_213034_201_2538_tile_L.jpg,0.25
63,FLIR1_20230318_213034_201_2538.jpg,221,18,6,8,0,[duck_goose],/data/local-files/?d=batch1_val_iimages/,FLIR1_20230318_213034_201_2538_tile_L.jpg,0.25
